name,categories,address,lat,lng,price,likes,photos,tips,rating,ratingSignals
Wow Burger - With Or With Out,Burger Joint,"الرياض 13322, المملكة العربية السعودية",24.823677743826284,46.65593363147607,Cheap,70.0,131,18,7.4,100.0
Jammin’ (جامن'),Juice Bar,"Alyasmeen (Anas Bin Malek Road), الرياض 13322, المملكة العربية السعودية",24.82360501997391,46.65539118878002,Cheap,43.0,127,25,8.0,66.0
La Casa Pasta,"Italian Restaurant, Fast Food Restaurant","حي الياسمين, الرياض, المملكة العربية السعودية",24.82360759682533,46.65585892378736,Moderate,57.0,60,14,6.7,90.0
Kudu (كودو),Fast Food Restaurant,"Anas Bin Malik St., المملكة العربية السعودية",24.82361046245775,46.655255523200466,Cheap,39.0,37,10,6.8,60.0
Harry's Pizza (هاريز بيتزا),"Pizza Place, Café","Rekal Plaza, Anas Ibn Malik Road, الرياض, المملكة العربية السعودية",24.82388121270927,46.65652892454163,Cheap,236.0,171,115,8.3,347.0
Raslan Speciality Coffee (رسلان للقهوة المختصة),"Coffee Shop, Café, Breakfast Spot","Anas Bin Malek Road, الرياض 13326, المملكة العربية السعودية",24.824941,46.656612,Cheap,16.0,27,8,7.8,19.0
alkhafeef (عالخفيف),"Bakery, Pizza Place","Anas Bin Malik Rd., الرياض, المملكة العربية السعودية",24.823581748508488,46.655674648546885,Cheap,38.0,29,12,8.0,51.0
Java Cafe,Coffee Shop,"الرياض 13326, المملكة العربية السعودية",24.82462,46.65536,Cheap,9.0,10,1,7.6,11.0
REGAL BURGER (برجر ريببلك),"Burger Joint, American Restaurant","Abi Bakr Al Siddiq Rd., الرياض 13322, المملكة العربية السعودية",24.828523,46.66023300000001,Cheap,1146.0,2139,476,8.4,1638.0
Gobblers غوبلرز,Sandwich Place,"أنس بن مالك, الرياض 13326, المملكة العربية السعودية",24.826033,46.659361,Cheap,9.0,22,3,8.4,12.0
Pan Bakery (بان بيكري),Bakery,"Abi Bakr Siddiq Rd, الرياض, المملكة العربية السعودية",24.82857057917885,46.66022446696106,Cheap,209.0,135,74,8.7,238.0
Shawarmix (شاورمكس),"Middle Eastern Restaurant, Turkish Restaurant","Anas Bin Malek Rd., الرياض, المملكة العربية السعودية",24.8240591242764,46.656643701128225,Moderate,251.0,103,107,7.3,367.0
Domino's Pizza (دومينوز بيتزا),Pizza Place,"Yasmeen Plaza, المملكة العربية السعودية",24.823526788900107,46.655556823819936,Cheap,29.0,18,6,7.6,40.0
شاورما فيوجن,Sandwich Place,المملكة العربية السعودية,24.825428,46.658033,Cheap,11.0,3,9,5.5,22.0
Katm,Restaurant,"الرياض 13326, المملكة العربية السعودية",24.825084,46.65703900000001,Moderate,14.0,20,6,6.2,25.0
Maestro Pizza (مايسترو بيتزا),Pizza Place,"AL-Yasmin (Anas Bin Malek), الرياض, المملكة العربية السعودية",24.823614047443037,46.65566868242968,Cheap,108.0,27,41,7.9,150.0
Diet Center (دايت سنتر),Restaurant,"Al Yasmen (anas bin malik road  انس ابن مالك), الرياض, المملكة العربية السعودية",24.823578374679645,46.655642569583314,Moderate,16.0,16,4,7.0,24.0
Lugaimat Tuf,Dumpling Restaurant,"الرياض 13326, المملكة العربية السعودية",24.824885,46.65662,Cheap,15.0,2,1,8.2,16.0
Popeyes Louisiana Kitchen (بوبايز),"Fried Chicken Joint, Fast Food Restaurant","Anss Bin Malek Rd, الرياض, المملكة العربية السعودية",24.824167020180425,46.65693611611408,Cheap,47.0,26,16,6.8,67.0
ايس كريم سياره,Ice Cream Shop,المملكة العربية السعودية,24.82868428420141,46.66579301656533,Cheap,5.0,5,0,6.8,8.0
McDonald's,Fast Food Restaurant,"Street, Abo Bakr Al-sadek, المملكة العربية السعودية",24.827100398097357,46.66205050399085,Cheap,17.0,12,1,7.5,21.0
شاورما جروف,"Sandwich Place, Fast Food Restaurant","Al Remal Street, الرياض 13325, المملكة العربية السعودية",24.824683,46.658769,Cheap,16.0,8,15,5.4,33.0
oceanx,Seafood Restaurant,"الرياض, المملكة العربية السعودية",24.82670285496539,46.660072803497314,Expensive,6.0,5,0,6.6,8.0
